origin|carrier|num_flights|avg_dep_delay|avg_arr_delay|cancel_rate|avg_dep_airport|dep_diff|rank
CLE|9E|3753|13.6664|6.1026|0.0248|10.2378|3.4286|12
CLE|F9|10007|19.6364|13.7381|0.0252|10.2378|9.3986|13
CLL|MQ|1229|10.8535|6.3247|0.0195|13.3491|-2.4956|1
CLL|OO|421|20.6342|19.4774|0.0285|13.3491|7.2851|2
CLT|YX|3949|8.2558|3.5817|0.0122|18.2054|-9.9496|1
CLT|DL|9288|10.527|1.8755|0.003|18.2054|-7.6784|2
CLT|OH|84547|12.3727|8.1294|0.0092|18.2054|-5.8327|3
CLT|UA|6027|12.4297|9.1556|0.0146|18.2054|-5.7757|4
CLT|9E|4626|13.8065|8.4021|0.0275|18.2054|-4.3989|5
CLT|MQ|9181|15.3036|11.4641|0.0136|18.2054|-2.9018|6
CLT|WN|4935|17.8041|11.3386|0.0028|18.2054|-0.4013|7
CLT|OO|89|18.7079|7.8652|0.0|18.2054|0.5025|8
CLT|B6|794|19.1927|11.3829|0.0189|18.2054|0.9873|9
CLT|AA|188831|21.4057|16.841|0.0097|18.2054|3.2003|10
CLT|NK|7311|22.212|16.4123|0.0267|18.2054|4.0066|11
CLT|F9|5017|28.7891|30.9835|0.0313|18.2054|10.5837|12
CMH|YX|17130|1.3907|-4.1999|0.009|8.6122|-7.2215|1
CMH|DL|4914|6.0684|-1.489|0.0041|8.6122|-2.5438|2
CMH|AS|697|7.8149|-0.5638|0.0187|8.6122|-0.7973|3
CMH|WN|17778|9.4701|2.2037|0.0076|8.6122|0.8579|4
CMH|9E|376|10.0559|1.484|0.0027|8.6122|1.4437|5
CMH|MQ|4688|10.7788|6.0158|0.0062|8.6122|2.1666|6
CMH|NK|3764|13.0869|3.8871|0.0191|8.6122|4.4747|7
CMH|OO|1987|13.3558|6.1631|0.002|8.6122|4.7436|8
CMH|UA|3984|13.7314|10.6222|0.0133|8.6122|5.1192|9
CMH|OH|1997|13.8237|8.7241|0.01|8.6122|5.2115|10
CMH|F9|381|15.7638|12.6509|0.0236|8.6122|7.1516|11
CMH|AA|5295|18.2468|13.5086|0.0155|8.6122|9.6346|12
CMI|MQ|2050|15.982|8.7498|0.0117|15.982|0.0|1
CMX|OO|1069|20.9953|19.6258|0.0327|20.9953|0.0|1
CNY|OO|51|14.0784|6.8431|0.0784|14.0784|0.0|1
COD|OO|937|16.6286|9.5048|0.0064|16.6286|0.0|1
COS|UA|1110|7.7234|4.3441|0.0207|10.4838|-2.7604|1
COS|OO|7364|8.8916|2.1851|0.0073|10.4838|-1.5922|2
COS|WN|7352|9.5953|3.8976|0.0042|10.4838|-0.8885|3
COS|DL|820|14.7549|9.189|0.0061|10.4838|4.2711|4
