origin|month|delay_band|num_flights|avg_dep_delay|avg_arr_delay
ALB|3|medium|187|30.51|23.47
ALB|3|unknown|25|0.0|0.0
ALB|4|high|88|244.52|240.52
ALB|4|low|1236|-3.76|-11.0
ALB|4|medium|169|29.56|21.85
ALB|4|unknown|1|0.0|0.0
ALB|5|high|105|138.4|133.02
ALB|5|low|1214|-3.54|-9.54
ALB|5|medium|203|30.01|21.62
ALB|5|unknown|9|0.0|0.0
ALB|6|high|139|180.74|169.08
ALB|6|low|1215|-3.5|-9.45
ALB|6|medium|193|31.55|22.91
ALB|6|unknown|20|0.0|0.0
ALB|7|high|230|161.35|164.63
ALB|7|low|1075|-2.54|-6.63
ALB|7|medium|245|33.18|30.3
ALB|7|unknown|58|0.0|0.0
ALB|8|high|169|160.99|162.38
ALB|8|low|1197|-2.92|-7.59
ALB|8|medium|228|30.36|29.29
ALB|8|unknown|28|0.0|0.0
ALB|9|high|45|178.4|172.53
ALB|9|low|1369|-4.92|-10.77
ALB|9|medium|133|30.03|24.77
ALB|9|unknown|5|0.0|0.0
ALB|10|high|42|159.55|149.83
ALB|10|low|1380|-4.15|-12.98
ALB|10|medium|174|27.27|17.13
ALB|10|unknown|23|0.0|0.0
ALB|11|high|42|156.81|143.98
ALB|11|low|1275|-4.27|-14.94
ALB|11|medium|114|27.61|17.51
ALB|11|unknown|4|0.0|0.0
ALB|12|high|152|198.96|193.06
ALB|12|low|1114|-2.89|-8.46
ALB|12|medium|224|31.25|24.31
ALB|12|unknown|3|0.0|0.0
ALW|1|high|5|152.2|164.0
ALW|1|low|63|-5.63|3.05
ALW|1|medium|4|42.5|52.5
ALW|1|unknown|14|0.0|0.0
ALW|2|high|4|96.0|95.0
ALW|2|low|73|-6.4|0.89
ALW|2|medium|1|49.0|75.0
ALW|2|unknown|6|0.0|0.0
ALW|3|high|1|63.0|80.0
ALW|3|low|84|-7.07|-3.86
ALW|3|medium|1|44.0|44.0
ALW|4|high|1|78.0|74.0
ALW|4|low|100|-6.61|-4.75
ALW|5|low|95|-5.47|-5.92
ALW|5|medium|4|19.25|21.25
ALW|6|high|8|84.5|87.38
ALW|6|low|67|-2.91|-3.88
ALW|6|medium|3|37.33|33.33
ALW|6|unknown|1|0.0|0.0
ALW|7|low|74|-4.01|-6.54
ALW|7|medium|14|23.93|25.5
ALW|8|high|2|94.0|102.5
ALW|8|low|79|-6.72|-6.75
ALW|8|medium|8|29.38|32.62
ALW|8|unknown|1|0.0|0.0
ALW|9|high|4|91.0|90.5
ALW|9|low|84|-6.2|-1.89
ALW|9|medium|10|31.0|51.0
AMA|1|high|47|206.38|202.79
AMA|1|low|456|-4.35|-6.02
AMA|1|medium|62|31.34|31.76
AMA|1|unknown|21|0.0|0.0
AMA|2|high|15|93.53|77.87
AMA|2|low|541|-5.66|-10.61
AMA|2|medium|42|33.0|31.88
AMA|2|unknown|1|0.0|0.0
AMA|3|high|35|135.51|134.83
AMA|3|low|548|-5.26|-9.09
AMA|3|medium|53|32.49|31.91
AMA|3|unknown|6|0.0|0.0
AMA|4|high|39|140.87|149.15
AMA|4|low|436|-4.46|-7.97
AMA|4|medium|38|31.58|27.66
AMA|4|unknown|3|0.0|0.0
AMA|5|high|76|158.8|154.75
AMA|5|low|423|-3.65|-7.77
AMA|5|medium|89|32.98|30.61
AMA|5|unknown|17|0.0|0.0
AMA|6|high|58|181.9|179.03
AMA|6|low|523|-4.05|-9.54
AMA|6|medium|96|31.23|26.99
AMA|6|unknown|5|0.0|0.0
AMA|7|high|45|146.16|141.69
AMA|7|low|548|-3.78|-7.79
AMA|7|medium|111|33.35|29.13
AMA|7|unknown|2|0.0|0.0
AMA|8|high|41|141.63|136.49
AMA|8|low|578|-5.05|-9.22
AMA|8|medium|73|34.9|34.38
AMA|8|unknown|2|0.0|0.0
AMA|9|high|31|125.29|127.26
AMA|9|low|569|-4.75|-5.34
AMA|9|medium|39|32.23|34.23
AMA|10|high|20|136.05|126.2
AMA|10|low|607|-4.92|-9.15
AMA|10|medium|61|33.72|27.52
AMA|10|unknown|2|0.0|0.0
AMA|11|high|28|150.75|148.71
AMA|11|low|531|-4.0|-8.72
