origin|month|delay_band|num_flights|avg_dep|avg_arr|top_cause_1|top_cause_2|top_cause_3
ADQ|9|high|1|87.0|89.0|weather|late_aircraft|nas
ADQ|9|low|85|-12.53|-11.36|weather|late_aircraft|nas
ADQ|9|medium|3|43.0|47.67|weather|late_aircraft|nas
ADQ|10|high|3|130.33|131.67|late_aircraft|carrier|security
ADQ|10|low|51|-5.84|-7.24|late_aircraft|carrier|security
ADQ|10|medium|7|31.43|32.29|late_aircraft|carrier|security
ADQ|11|high|3|358.67|357.33|carrier|late_aircraft|security
ADQ|11|low|41|-4.68|-2.56|carrier|late_aircraft|security
ADQ|11|medium|13|27.46|28.31|carrier|late_aircraft|security
ADQ|12|high|3|169.67|174.67|late_aircraft|weather|nas
ADQ|12|low|52|-7.15|-9.4|late_aircraft|weather|nas
ADQ|12|medium|3|30.0|29.67|late_aircraft|weather|nas
AEX|1|high|16|249.38|259.19|late_aircraft|nas|weather
AEX|1|low|114|-4.89|-4.67|late_aircraft|nas|weather
AEX|1|medium|16|38.5|32.44|late_aircraft|nas|weather
AEX|2|high|6|239.67|234.67|carrier|nas|late_aircraft
AEX|2|low|129|-6.29|-10.56|carrier|nas|late_aircraft
AEX|2|medium|8|33.62|37.75|carrier|nas|late_aircraft
AEX|3|high|8|165.25|153.88|weather|carrier|late_aircraft
AEX|3|low|137|-4.73|-10.62|weather|carrier|late_aircraft
AEX|3|medium|7|34.86|41.43|weather|carrier|late_aircraft
AEX|4|high|18|266.72|284.56|weather|carrier|late_aircraft
AEX|4|low|118|-5.62|-8.43|weather|carrier|late_aircraft
AEX|4|medium|10|35.1|33.8|weather|carrier|late_aircraft
AEX|5|high|23|169.96|166.96|weather|late_aircraft|carrier
AEX|5|low|116|-4.52|-5.84|weather|late_aircraft|carrier
AEX|5|medium|9|27.56|33.67|weather|late_aircraft|carrier
AEX|6|high|13|231.23|209.69|carrier|weather|late_aircraft
AEX|6|low|144|-4.78|-10.49|carrier|weather|late_aircraft
AEX|6|medium|11|26.18|17.18|carrier|weather|late_aircraft
AEX|7|high|23|217.39|214.74|carrier|weather|late_aircraft
AEX|7|low|129|-4.67|-9.83|carrier|weather|late_aircraft
AEX|7|medium|19|29.95|25.21|carrier|weather|late_aircraft
AEX|8|high|15|158.0|148.2|carrier|weather|late_aircraft
AEX|8|low|154|-5.45|-12.08|carrier|weather|late_aircraft
AEX|8|medium|7|29.14|24.71|carrier|weather|late_aircraft
AEX|9|high|15|165.2|160.87|carrier|late_aircraft|weather
AEX|9|low|139|-4.23|-7.91|carrier|late_aircraft|weather
AEX|9|medium|16|29.94|29.88|carrier|late_aircraft|weather
AEX|10|high|21|176.19|163.81|carrier|weather|late_aircraft
AEX|10|low|141|-6.7|-15.45|carrier|weather|late_aircraft
AEX|10|medium|14|34.14|26.5|carrier|weather|late_aircraft
AEX|11|high|15|172.73|165.6|carrier|weather|late_aircraft
AEX|11|low|139|-5.65|-11.5|carrier|weather|late_aircraft
AEX|11|medium|12|28.5|20.17|carrier|weather|late_aircraft
AEX|12|high|6|274.33|262.0|carrier|weather|late_aircraft
AEX|12|low|140|-4.34|-10.91|carrier|weather|late_aircraft
AEX|12|medium|17|31.18|32.76|carrier|weather|late_aircraft
AGS|1|high|47|178.3|173.43|carrier|late_aircraft|weather
AGS|1|low|164|-2.61|-7.18|carrier|late_aircraft|weather
AGS|1|medium|32|29.97|29.0|carrier|late_aircraft|weather
AGS|2|high|20|144.1|134.65|weather|late_aircraft|carrier
AGS|2|low|193|-3.49|-13.11|weather|late_aircraft|carrier
AGS|2|medium|24|30.96|21.92|weather|late_aircraft|carrier
AGS|3|high|19|176.74|170.47|carrier|late_aircraft|nas
AGS|3|low|213|-3.83|-8.31|carrier|late_aircraft|nas
AGS|3|medium|17|28.0|26.82|carrier|late_aircraft|nas
AGS|4|high|32|100.84|101.16|weather|late_aircraft|carrier
AGS|4|low|377|-3.01|-5.85|weather|late_aircraft|carrier
AGS|4|medium|75|30.84|27.28|weather|late_aircraft|carrier
AGS|5|high|33|174.27|172.03|late_aircraft|carrier|weather
AGS|5|low|246|-3.7|-7.4|late_aircraft|carrier|weather
AGS|5|medium|28|33.0|30.68|late_aircraft|carrier|weather
AGS|6|high|21|127.38|124.81|carrier|weather|late_aircraft
AGS|6|low|315|-4.8|-9.41|carrier|weather|late_aircraft
AGS|6|medium|29|28.45|23.38|carrier|weather|late_aircraft
AGS|7|high|60|171.17|171.05|weather|late_aircraft|carrier
AGS|7|low|261|-3.54|-5.37|weather|late_aircraft|carrier
AGS|7|medium|39|33.69|27.31|weather|late_aircraft|carrier
AGS|8|high|26|183.58|177.15|carrier|weather|late_aircraft
AGS|8|low|293|-4.67|-8.53|carrier|weather|late_aircraft
AGS|8|medium|32|33.53|26.81|carrier|weather|late_aircraft
